distance,size,year_built,num_of_rooms,floor,price
5500.0,140.0,2012,4,4,299900.0
3700.0,63.0,1939,3,1,140000.0
1000.0,80.0,1939,3,3,208000.0
4600.0,52.0,2019,2,5,50000.0
6900.0,62.0,2018,2,0,75000.0
5500.0,38.0,2010,2,1,60800.0
4800.0,81.0,1974,4,0,122000.0
3400.0,65.0,2021,2,4,199990.0
4800.0,81.0,1974,4,0,122000.0
3400.0,65.0,2021,2,4,199990.0
4600.0,57.0,2021,3,0,99750.0
6200.0,68.0,2019,3,3,169900.0
7200.0,146.0,2010,5,0,395000.0
12300.0,96.0,1983,4,3,110000.0
5500.0,36.0,2012,2,1,87000.0
8700.0,63.0,1977,3,4,97000.0
9200.0,54.0,2005,2,0,95000.0
7800.0,78.0,2011,4,0,75000.0
7800.0,50.0,2011,2,0,50000.0
3700.0,125.0,2007,4,1,288000.0
1400.0,60.0,1940,2,2,160000.0
5500.0,46.0,2019,2,4,99000.0
1400.0,65.0,2019,3,3,190000.0
7200.0,40.0,2020,2,0,95000.0
6900.0,85.0,2001,3,0,76500.0
5700.0,195.0,2001,6,0,380000.0
4100.0,44.0,2010,2,0,140000.0
9000.0,62.0,1970,3,11,92000.0
6500.0,68.0,1928,3,0,123000.0
8600.0,58.0,2003,2,7,99000.0
7800.0,40.0,2008,2,2,53000.0
5000.0,100.0,2012,5,0,170000.0
8600.0,60.0,1980,2,7,62500.0
6900.0,84.0,1986,4,4,101800.0
6900.0,37.0,2019,3,4,51800.0
4100.0,82.0,2012,4,0,149000.0
6400.0,43.0,2013,1,0,99500.0
5800.0,71.0,2008,3,2,140000.0
6900.0,54.0,2014,3,0,53000.0
6000.0,37.0,1970,1,2,93000.0
8600.0,102.0,2020,4,2,235000.0
7200.0,126.0,2020,4,0,277244.0
4000.0,61.0,2020,2,1,180000.0
5800.0,67.0,2020,3,2,120600.0
5000.0,78.0,2020,3,3,189583.0
3400.0,55.0,2020,2,4,125000.0
5000.0,122.0,2020,3,0,201300.0
4600.0,45.0,1965,2,4,56000.0
5800.0,42.0,2020,2,1,75600.0
5800.0,66.0,2020,3,4,118800.0
5000.0,90.0,2020,2,4,219704.0
7200.0,79.0,2020,3,2,190914.0
7200.0,132.0,2020,4,2,318980.0
7200.0,78.0,2020,2,4,189583.0
7200.0,131.0,2020,3,4,317335.0
3400.0,82.0,2021,3,9,264000.0
4100.0,91.0,1990,3,1,155000.0
1600.0,73.0,1959,2,3,175000.0
10800.0,100.0,1980,4,0,70000.0
7200.0,98.0,1982,4,0,249000.0
4500.0,95.0,2021,5,5,203325.0
4500.0,75.0,2021,4,4,164530.0
4500.0,96.0,2021,4,3,200550.0
4500.0,47.0,2021,2,0,112330.0
4500.0,75.0,2021,3,2,157754.0
6400.0,138.0,2010,4,2,306000.0
4500.0,96.0,2021,4,4,200550.0
3400.0,90.0,2020,3,1,355000.0
4500.0,46.0,2021,2,0,111039.0
8600.0,95.0,1990,4,6,145000.0
4500.0,74.0,2021,3,1,157753.0
4500.0,74.0,2021,3,3,172615.0
4600.0,93.0,2000,4,1,132000.0
6400.0,54.0,2010,1,3,124000.0
4100.0,30.0,1985,1,1,60000.0
9100.0,92.0,2015,2,0,115000.0
6400.0,64.0,2019,3,0,127900.0
2200.0,91.0,2008,3,3,175000.0
6900.0,78.0,2017,2,0,65000.0
6900.0,49.0,2017,3,0,60000.0
7700.0,39.0,2020,2,3,140000.0
4700.0,60.0,1959,2,2,109900.0
3800.0,125.0,2004,5,2,181000.0
5500.0,110.0,1930,4,0,230000.0
4600.0,116.0,1962,4,1,139000.0
4600.0,78.0,2008,3,0,78000.0
3800.0,111.0,2017,5,6,235000.0
3800.0,103.0,1939,4,2,205000.0
6400.0,66.0,2020,3,2,107500.0
6400.0,66.0,2020,3,2,107500.0
4600.0,119.0,1998,5,3,140000.0
1600.0,75.0,1938,3,6,133000.0
4500.0,128.0,2010,5,4,330000.0
8700.0,36.0,1990,1,5,90000.0
1200.0,82.0,1918,4,2,95000.0
12700.0,83.0,2020,3,2,116800.0
1400.0,110.0,1934,5,0,219000.0
5500.0,120.0,2010,4,3,195000.0
5500.0,28.0,2010,2,0,55000.0
3400.0,109.0,2009,3,6,211182.0
4700.0,91.0,1973,4,8,189000.0
3400.0,150.0,2009,3,6,298708.0
2900.0,98.0,1971,4,1,179000.0
6400.0,90.0,2015,2,7,165000.0
9300.0,100.0,1979,3,4,115000.0
3700.0,72.0,1937,3,3,135000.0
10800.0,75.0,1986,3,3,70000.0
6800.0,57.0,1950,3,5,69000.0
8600.0,76.0,2000,3,1,78000.0
4000.0,39.0,1991,2,3,105000.0
1000.0,80.0,1930,3,3,200000.0
10200.0,118.0,1963,3,1,127000.0
7900.0,79.0,2012,3,4,147000.0
1000.0,65.0,1936,3,2,165000.0
7200.0,117.0,2009,4,2,295000.0
7200.0,75.0,2020,3,1,262500.0
3400.0,32.0,1934,2,1,60000.0
7200.0,114.0,2020,4,1,399000.0
15300.0,43.0,2020,2,0,55860.0
15300.0,35.0,2020,2,0,45470.0
15300.0,42.0,2020,2,1,54560.0
15300.0,43.0,2020,2,2,55860.0
15300.0,46.0,2020,2,3,59754.0
6500.0,50.0,2003,2,4,108000.0
15300.0,37.0,2020,2,3,48100.0
3700.0,75.0,1984,4,5,135000.0
4100.0,100.0,1956,4,5,240000.0
12300.0,84.0,1987,4,6,89900.0
1000.0,130.0,1957,5,2,262000.0
6900.0,95.0,1984,4,4,84000.0
7200.0,57.0,2020,2,0,120000.0
6900.0,59.0,1980,2,10,59500.0
2100.0,153.0,1935,5,0,240000.0
4500.0,50.0,2008,1,1,94000.0
1100.0,115.0,1930,5,1,340000.0
14000.0,78.0,1996,3,7,81000.0
6900.0,125.0,1980,5,0,119000.0
11700.0,82.0,2018,3,3,89000.0
4500.0,61.0,2019,3,3,140000.0
9000.0,55.0,2019,3,0,126500.0
10500.0,62.0,2012,3,0,74000.0
9100.0,87.0,2017,4,3,99999.0
10800.0,56.0,1986,2,7,45000.0
4600.0,41.0,2007,1,0,61900.0
7700.0,76.0,1980,4,5,98000.0
7300.0,70.0,1975,3,4,180000.0
6900.0,90.0,2012,3,2,99000.0
5900.0,54.0,1938,3,2,232000.0
1400.0,84.0,1980,3,3,180000.0
2100.0,160.0,1936,5,2,650000.0
6400.0,201.0,2012,7,3,422100.0
1000.0,60.0,2019,3,2,172000.0
2000.0,58.0,1970,2,3,112200.0
4500.0,14.0,1919,1,5,33700.0
2700.0,56.0,1960,2,2,139000.0
3000.0,94.0,2007,4,4,182000.0
6100.0,70.0,1980,3,20,102000.0
2100.0,88.0,1929,4,1,260000.0
7200.0,90.0,2011,3,2,209000.0
7200.0,90.0,2011,3,2,209000.0
5500.0,145.0,2007,4,4,200000.0
4500.0,59.0,1919,2,5,91000.0
10600.0,90.0,1970,3,0,59500.0
8000.0,230.0,2017,8,0,220000.0
3700.0,65.0,1930,3,1,91900.0
2100.0,169.0,1923,6,1,330000.0
9300.0,50.0,1970,3,1,85000.0
4700.0,120.0,1980,2,10,250000.0
1600.0,85.0,1972,4,2,185000.0
2100.0,17.0,1960,1,7,53000.0
6400.0,56.0,2017,2,6,110000.0
2700.0,133.0,1929,5,2,290000.0
6900.0,191.0,2005,5,0,180000.0
4500.0,87.0,2006,4,4,204000.0
3800.0,80.0,1947,4,4,98000.0
3800.0,129.0,2018,4,2,236900.0
6900.0,44.0,2008,2,0,59900.0
5800.0,86.0,2005,4,2,147000.0
9100.0,100.0,2008,2,0,75000.0
2200.0,88.0,1939,4,0,200000.0
9100.0,127.0,2006,3,2,105000.0
2700.0,106.0,1963,4,7,185000.0
5500.0,112.0,1969,5,2,180000.0
2100.0,84.0,1938,4,0,158000.0
3400.0,86.0,2007,3,5,155000.0
2100.0,105.0,2002,4,5,210000.0
6400.0,149.0,2000,4,2,272000.0
4100.0,77.0,1991,3,0,170000.0
1100.0,102.0,1935,3,1,279900.0
4100.0,96.0,2005,3,0,240000.0
1400.0,80.0,1943,4,4,124000.0
9200.0,66.0,2005,2,3,95000.0
5000.0,162.0,2000,6,3,275000.0
4500.0,125.0,2010,4,3,205000.0
3100.0,44.0,1976,1,8,98000.0
2200.0,96.0,1986,4,5,185000.0
1600.0,148.0,1960,5,5,270000.0
6500.0,32.0,2015,2,6,100000.0
8600.0,104.0,1980,4,9,87000.0
5900.0,93.0,1937,4,1,250000.0
